PhysicalActivity5OrMoreDays,activity_days,QN80_group,BMIPCT
7.0,6.0,Met recommendation,96.96756116
8.0,7.0,Met recommendation,49.88343043
1.0,0.0,Did not meet recommendation,56.29565269
2.0,1.0,Did not meet recommendation,79.66153065
1.0,0.0,Did not meet recommendation,80.77690249
1.0,0.0,Did not meet recommendation,86.74519316
4.0,3.0,Did not meet recommendation,16.03372613
1.0,0.0,Did not meet recommendation,93.20315098
8.0,7.0,Met recommendation,94.34347293
1.0,0.0,Did not meet recommendation,98.89321467
5.0,4.0,Did not meet recommendation,97.1843072
1.0,0.0,Did not meet recommendation,93.20315098
1.0,0.0,Did not meet recommendation,88.21172206
8.0,7.0,Met recommendation,72.82376292
1.0,0.0,Did not meet recommendation,16.73999365
1.0,0.0,Did not meet recommendation,58.167767
1.0,0.0,Did not meet recommendation,58.40828186
1.0,0.0,Did not meet recommendation,53.70643103
2.0,1.0,Did not meet recommendation,75.2628239
1.0,0.0,Did not meet recommendation,36.8619196
3.0,2.0,Did not meet recommendation,92.0955763
8.0,7.0,Met recommendation,81.88920139
3.0,2.0,Did not meet recommendation,90.49868957
8.0,7.0,Met recommendation,94.25302614
6.0,5.0,Met recommendation,99.05950452
7.0,6.0,Met recommendation,82.18267485
8.0,7.0,Met recommendation,85.72136293
1.0,0.0,Did not meet recommendation,53.24794021
4.0,3.0,Did not meet recommendation,66.54483144
8.0,7.0,Met recommendation,51.61765844
5.0,4.0,Did not meet recommendation,98.3498431
1.0,0.0,Did not meet recommendation,66.71134102
4.0,3.0,Did not meet recommendation,54.40819125
5.0,4.0,Did not meet recommendation,98.40917302
8.0,7.0,Met recommendation,55.68597478
6.0,5.0,Met recommendation,81.79666847
1.0,0.0,Did not meet recommendation,86.71569586
1.0,0.0,Did not meet recommendation,34.20904036
1.0,0.0,Did not meet recommendation,91.17759683
4.0,3.0,Did not meet recommendation,74.51763205
6.0,5.0,Met recommendation,89.17900904
5.0,4.0,Did not meet recommendation,58.09322257
8.0,7.0,Met recommendation,95.68357951
1.0,0.0,Did not meet recommendation,33.66779009
3.0,2.0,Did not meet recommendation,91.59481599
8.0,7.0,Met recommendation,78.31747374
7.0,6.0,Met recommendation,48.66934789
6.0,5.0,Met recommendation,73.71563971
3.0,2.0,Did not meet recommendation,74.61766754
1.0,0.0,Did not meet recommendation,54.38998582
3.0,2.0,Did not meet recommendation,87.0929914
6.0,5.0,Met recommendation,83.86594073
1.0,0.0,Did not meet recommendation,52.55947074
1.0,0.0,Did not meet recommendation,64.48479627
1.0,0.0,Did not meet recommendation,72.01453889
2.0,1.0,Did not meet recommendation,78.10688836
1.0,0.0,Did not meet recommendation,97.34193033
7.0,6.0,Met recommendation,62.95970228
4.0,3.0,Did not meet recommendation,45.26162121
1.0,0.0,Did not meet recommendation,81.37544358
1.0,0.0,Did not meet recommendation,89.78692125
